Switch ID,Port Number,Received Packets,Received Bytes,Sent Bytes,Sent Packets,Port alive Duration (S),Delta Received Packets,Delta Received Bytes,Delta Sent Bytes,Delta Sent Packets,Delta Port alive Duration (S),Connection Point,Total Load/Rate,Total Load/Latest,Unknown Load/Rate,Unknown Load/Latest,Latest bytes counter,Active Flow Entries,Packets Looked Up,Packets Matched,Label,Binary Label
12,1,132,9181,6311853,238,46,0,0,280,2,5,1,0,0,0,0,0,9,767,688,6,1
12,2,187,6304498,15713,171,46,146,5908166,5969,84,5,2,0,0,0,0,0,9,767,688,6,1
12,3,235,6311567,8030,58,46,2,278,280,2,5,3,0,0,0,0,0,9,767,688,6,1
12,4,59,7878,16439,182,46,2,278,280,2,5,4,0,0,0,0,0,9,767,688,6,1
10,1,188,6304547,16497,183,46,0,0,280,2,5,1,0,0,0,0,0,7,489,403,6,1
10,2,10,856,8130,60,46,0,0,280,2,5,2,0,0,0,0,0,7,489,403,6,1
10,3,60,8082,6311515,233,46,2,278,280,2,5,3,0,0,0,0,0,7,489,403,6,1
10,4,179,16055,8040,59,46,2,278,280,2,5,5,0,0,0,0,0,7,489,403,6,1
11,1,121,8487,6311952,239,46,79,5491,5777176,145,5,1,0,0,0,0,0,7,409,353,6,1
11,2,60,8114,8198,62,46,2,280,280,2,5,2,0,0,0,0,0,7,409,353,6,1
3,1,11,946,8214,62,46,0,0,278,2,5,1,0,0,0,0,0,8,1233,1145,6,1
3,4,446,28882,8124,61,46,102,5678,278,2,5,4,0,0,0,0,0,8,1233,1145,6,1
4,1,444,28798,7966,58,46,101,5624,278,2,5,1,0,0,0,0,0,5,605,516,6,1
4,2,61,8124,28882,446,46,2,278,5624,101,5,2,567,20682,567,20682,567,5,605,516,6,1
4,3,55,7840,8008,59,46,2,278,278,2,5,3,0,0,0,0,0,5,605,516,6,1
1,1,11,942,8098,60,46,0,0,278,2,5,1,0,0,0,0,0,6,940,857,6,1
1,2,396,21676,28876,445,46,99,5346,5624,101,5,2,540,20412,540,20412,540,6,940,857,6,1
1,3,442,28702,8008,59,46,101,5624,278,2,5,3,0,0,0,0,0,6,940,857,6,1
1,4,56,7882,8008,59,46,2,278,278,2,5,4,0,0,0,0,0,6,940,857,6,1
2,1,186,6304411,15955,175,46,0,0,278,2,5,1,0,0,0,0,0,7,787,738,6,1
2,2,59,8008,28702,442,46,2,278,5624,101,5,2,540,20412,540,20412,540,7,787,738,6,1
7,1,57,7924,7924,57,46,2,278,278,2,5,1,0,0,0,0,0,5,219,121,6,1
7,2,59,8008,8008,59,46,2,278,278,2,5,2,0,0,0,0,0,5,219,121,6,1
7,3,58,7998,7924,57,46,2,278,278,2,5,3,0,0,0,0,0,5,219,121,6,1
8,1,59,8008,8082,60,46,2,278,278,2,5,1,0,0,0,0,0,5,401,307,6,1
8,2,57,7924,7998,58,46,2,278,278,2,5,2,0,0,0,0,0,5,401,307,6,1
8,3,233,6311515,8082,60,46,2,280,278,2,5,3,0,0,0,0,0,5,401,307,6,1
5,1,59,8008,7882,56,46,2,278,278,2,5,1,0,0,0,0,0,4,229,146,6,1
5,2,61,8124,8008,59,46,2,278,278,2,5,2,0,0,0,0,0,4,229,146,6,1
5,3,59,8008,8008,59,46,2,278,278,2,5,4,0,0,0,0,0,4,229,146,6,1
6,1,59,8008,7840,55,46,2,278,278,2,5,1,0,0,0,0,0,5,224,137,6,1
6,2,59,8008,8008,59,46,2,278,278,2,5,2,0,0,0,0,0,5,224,137,6,1
6,3,60,8082,8008,59,46,2,278,278,2,5,3,0,0,0,0,0,5,224,137,6,1
9,1,60,8082,7730,57,46,2,278,278,2,5,1,0,0,0,0,0,7,354,265,6,1
9,2,60,8082,7562,53,46,2,278,278,2,5,3,0,8209,0,8209,0,7,354,265,6,1
9,3,59,8040,16055,179,46,2,280,278,2,5,4,0,0,0,0,0,7,354,265,6,1
12,1,132,9181,6313015,247,56,0,0,560,4,5,1,0,0,0,0,0,9,1042,963,6,1
12,2,303,6312426,6320302,354,56,89,6150,5908709,150,5,2,604723,6047239,604723,6047239,604723,9,1042,963,6,1
12,3,418,12616148,17078,182,56,150,5908705,6710,93,5,3,0,0,0,0,0,9,1042,963,6,1
12,4,68,9032,17601,191,56,4,556,560,4,5,4,0,0,0,0,0,9,1042,963,6,1
10,1,188,6304547,17659,192,56,0,0,560,4,5,1,0,0,0,0,0,4,516,430,6,1
10,2,10,856,9292,69,56,0,0,560,4,5,2,0,0,0,0,0,4,516,430,6,1
10,3,69,9236,6312635,241,56,4,556,560,4,5,3,0,0,0,0,0,4,516,430,6,1
10,4,188,17209,9202,68,56,4,556,560,4,5,5,0,0,0,0,0,4,516,430,6,1
11,1,121,8487,6313114,248,56,0,0,560,4,5,1,0,0,0,0,0,6,424,367,6,1
11,2,70,9346,9360,71,56,5,630,560,4,5,2,0,0,0,0,0,6,424,367,6,1
3,1,186,6304415,17324,187,56,146,5908149,6776,94,5,1,781,7812,781,7812,781,8,1944,1856,6,1
3,2,704,40003,6344039,823,56,98,5292,5918,103,5,2,523,31050,523,31050,523,8,1944,1856,6,1
3,3,240,6312505,48051,757,56,4,556,5848,102,5,3,523,31050,523,31050,523,8,1944,1856,6,1
3,4,763,48332,9278,70,56,191,11998,556,4,5,4,0,0,0,0,0,8,1944,1856,6,1
4,1,645,40320,9078,66,56,101,5794,556,4,5,1,0,0,0,0,0,6,947,858,6,1
4,2,70,9278,48332,763,56,4,556,11944,190,5,2,1138,38862,1138,38862,1138,6,947,858,6,1
4,3,179,16880,9162,68,56,93,6706,556,4,5,3,0,0,0,0,0,6,947,858,6,1
1,1,11,942,9252,69,56,0,0,556,4,5,1,0,0,0,0,0,6,1335,1252,6,1
1,2,588,32044,40398,646,56,97,5238,5794,101,5,2,502,30564,502,30564,502,6,1335,1252,6,1
1,3,643,40224,9120,67,56,101,5794,556,4,5,3,0,0,0,0,0,6,1335,1252,6,1
1,4,64,8994,9162,68,56,4,556,556,4,5,4,0,0,0,0,0,6,1335,1252,6,1
2,1,186,6304411,17109,184,56,0,0,556,4,5,1,0,0,0,0,0,5,988,939,6,1
2,2,67,9120,40224,643,56,4,556,5794,101,5,2,502,30564,502,30564,502,5,988,939,6,1
7,1,66,9078,9036,65,56,4,556,556,4,5,1,0,0,0,0,0,5,428,329,6,1
7,2,243,6312659,9162,68,56,151,5908775,556,4,5,2,0,0,0,0,0,5,428,329,6,1
7,3,66,9110,6312505,240,56,4,556,5908705,150,5,3,590814,6303353,590814,6303353,590814,5,428,329,6,1
